Accident_Index,Date,Time,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Junction_Detail,Urban_or_Rural_Area,Latitude,Longitude
A025660,05/07/2023,12:23,3,2,1,2,6,1,30,8,2,51.69148159099818,-2.8421217450424794
A025661,31/05/2023,01:06,3,4,0,1,3,6,50,3,1,52.11495536736551,-0.8021427467162806
A025662,07/01/2023,02:35,3,2,1,4,1,6,70,7,2,51.89591980215558,-2.585955603264128
A025663,10/04/2023,00:48,3,3,2,2,3,6,40,9,2,51.008822756673425,2.4162433057493105
A025664,29/12/2023,03:03,3,4,1,1,7,7,40,1,1,50.27489583968834,-2.1250961842675733
A025665,10/08/2023,22:01,3,1,2,7,1,1,50,5,2,53.436355731765175,-1.2146299104810312
A025666,07/10/2023,11:21,3,1,1,2,4,1,40,5,2,52.64319395269554,-0.22049414896320876
A025667,13/12/2023,04:38,3,5,0,6,3,5,60,0,2,50.755581498240076,0.6383105011893943
A025668,17/04/2023,23:01,2,3,2,4,1,6,30,9,2,51.891359561778906,-0.4042411701372818
A025669,10/05/2023,02:31,2,1,3,6,4,5,30,1,2,53.11914679318595,1.6969280455083635
A025670,22/05/2023,03:34,2,2,0,2,5,6,40,8,1,50.03480697623574,1.0299798479131321
A025671,07/05/2023,11:11,3,1,0,6,6,5,70,1,1,52.77022811021795,-2.3986210916349293
A025672,27/04/2023,02:41,3,3,1,1,5,7,30,3,1,50.696140326625915,2.7216361197420835
A025673,11/10/2023,15:38,1,4,1,8,6,4,50,1,1,52.92105135701856,-1.1211642639958563
A025674,01/08/2023,01:25,3,1,1,1,4,6,20,3,1,51.26398258562193,2.8048720279602075
A025675,06/11/2023,01:54,1,4,2,3,2,7,30,6,2,52.80259504448127,-0.38591524760704254
A025676,11/08/2023,13:19,3,3,2,4,2,1,70,3,1,51.98853263395918,-1.9371587084797073
A025677,05/02/2023,15:06,3,5,2,1,4,4,30,6,2,50.18722063167407,0.5367701320113177
A025678,03/07/2023,22:38,3,1,3,8,2,5,50,9,2,53.06467460506615,1.9676768822036297
A025679,14/06/2023,14:35,3,3,3,1,4,7,50,5,2,50.32354341446519,-2.2005467341104166
A025680,03/08/2023,16:07,3,2,3,6,3,6,30,2,2,52.98727588776702,1.392381914192025
A025681,24/02/2023,20:15,3,4,1,9,4,1,40,9,1,49.70735692359038,-1.4132877659363525
A025682,27/08/2023,19:46,3,4,2,4,1,7,60,7,2,51.64819803603628,2.262480626534392
A025683,17/02/2023,19:59,2,3,2,3,6,1,70,7,2,50.697953653933844,-0.9021529820072954
A025684,05/03/2023,22:01,3,5,2,2,5,7,30,7,2,51.3193607860028,1.5501776306593213
A025685,02/09/2023,04:27,3,2,1,2,2,7,70,8,2,49.61216689876334,-0.7978423239588345
A025686,10/04/2023,12:03,3,3,1,4,4,4,30,7,1,51.787426313137324,-0.7787871362559183
A025687,19/10/2023,17:13,3,4,0,8,2,6,50,5,2,52.14783782630545,-2.2283635816350134
A025688,19/04/2023,17:08,3,1,2,5,7,6,30,5,1,52.59719063737763,-0.3554926841444298
A025689,05/03/2023,22:47,2,5,1,4,7,4,30,2,2,52.430841353856586,0.9127947655921039
A025690,29/10/2023,17:59,3,5,1,7,2,1,20,2,2,52.305695847126614,1.3695370069088217
A025691,17/10/2023,18:07,3,5,3,8,4,4,20,0,1,51.6348075004395,2.5091198285884295
A025692,09/09/2023,09:31,1,3,2,4,6,5,40,9,2,53.21819585234579,-0.7685317903115968
A025693,12/03/2023,05:15,3,3,0,3,4,7,30,5,1,50.11114945857001,0.38625419296177343
A025694,12/06/2023,21:22,3,4,2,3,6,7,70,6,2,53.075343698215924,-2.7945330723007156
A025695,17/07/2023,03:14,3,2,1,4,2,4,30,9,1,52.34656066646747,2.7109344229428234
A025696,27/02/2023,05:03,3,1,2,2,1,4,40,7,1,50.03794971372066,0.14253901292474289
A025697,02/10/2023,11:47,2,4,1,2,2,5,40,5,1,51.449040112785475,-1.1363448896070367
A025698,18/07/2023,06:24,3,1,0,4,4,7,60,6,2,53.463806061331404,-1.6267832215072453
A025699,10/09/2023,04:57,3,1,0,7,2,6,40,5,2,53.1144253428032,-1.3706129386333048
A025700,13/04/2023,19:09,3,3,3,6,3,1,20,8,2,53.33967489890227,-0.9121966618792191
A025701,07/05/2023,00:56,3,4,0,1,5,1,50,9,1,51.01728818826783,-2.075113612887421
A025702,11/06/2023,13:37,3,2,2,3,7,1,70,2,2,49.78536107025213,0.8867964674293846
A025703,05/09/2023,16:55,3,2,2,1,5,6,50,3,1,49.580955805418014,-2.1461264544601844
A025704,17/11/2023,12:57,3,3,3,8,3,6,20,3,2,53.218732650561705,-1.3211569400211383
A025705,27/02/2023,13:36,3,3,3,3,1,7,30,1,1,53.282211542158585,0.9651859648790376
A025706,13/08/2023,18:43,3,2,0,3,7,1,50,2,2,51.59032335910964,2.0440863040452535
A025707,08/08/2023,03:29,2,2,0,8,7,7,40,2,1,52.73676102248893,1.313468116002777
A025708,19/12/2023,20:12,3,1,1,9,1,6,40,5,2,51.01882421839261,-2.7114308599415433
A025709,10/09/2023,23:05,3,4,0,6,3,4,70,3,2,49.77870204742034,-0.8388014464427468
A025710,18/01/2023,20:44,3,3,2,6,7,5,60,3,2,50.31931900838462,-0.21670493036450936
A025711,06/07/2023,00:47,3,1,1,3,6,1,50,8,1,49.840377466137255,-0.20202495411247892
A025712,11/06/2023,08:51,3,3,3,2,7,4,30,6,1,50.3449633438502,-0.3402210768510775
A025713,07/04/2023,08:43,2,2,1,6,2,6,70,6,2,52.32270257369799,-0.6420818999237031
A025714,07/05/2023,14:02,3,1,3,9,1,1,50,9,2,53.44762355012122,-0.3149025783085072
A025715,28/08/2023,22:58,3,5,1,8,7,6,50,7,1,49.86141681216658,-1.1704817181764058
A025716,11/10/2023,16:48,3,5,2,9,3,7,30,9,2,49.52559037958407,-0.3155880972273647
A025717,08/10/2023,21:07,2,5,2,1,7,7,60,8,2,50.06864844723678,2.028584839797112
A025718,07/05/2023,04:23,3,2,3,7,7,1,60,8,2,51.12968563737234,-1.3085943774368631
A025719,06/02/2023,10:25,2,3,2,9,6,7,70,3,1,49.722190737651616,0.9768891593121461
A025720,04/10/2023,23:53,3,5,3,4,7,4,20,8,2,50.50708359590498,-3.007796474409648
A025721,07/05/2023,03:46,3,3,2,3,2,6,40,3,1,52.05163687270612,1.5832478767865426
A025722,02/08/2023,08:04,2,2,3,6,6,7,30,0,2,52.38415297965202,-2.6867608323664416
A025723,20/01/2023,18:17,3,2,1,7,6,6,30,5,1,52.479873957761654,-2.8398769463052775
A025724,01/12/2023,21:26,3,4,2,8,1,5,20,0,1,52.108452178681944,-0.14988462642880576
A025725,08/08/2023,18:05,2,4,2,3,7,1,40,6,1,49.57687984836838,2.6756081205768765
A025726,26/05/2023,10:02,3,4,2,8,5,5,60,7,2,52.294283343499856,-1.6057767374776817
A025727,18/08/2023,19:44,3,4,2,6,6,1,20,9,2,50.262549370180174,2.6038706114634
A025728,24/06/2023,01:23,2,5,0,6,1,1,30,9,1,52.100082775753535,-0.20866465495614098
A025729,11/01/2023,13:24,3,2,1,2,2,1,60,9,1,51.1180395040986,-2.0386726490045857
A025730,07/10/2023,10:35,3,5,0,8,4,7,30,8,2,49.54091340336533,2.18183149009942
A025731,13/07/2023,12:10,2,1,2,4,4,6,40,0,1,49.68732594709074,-1.3596281493066775
A025732,04/01/2023,07:52,3,2,3,3,1,5,60,6,2,50.21785742027535,-1.5024910949063497
A025733,21/05/2023,22:29,3,4,2,7,1,6,70,2,1,51.253865822344245,-0.559582877606425
A025734,23/04/2023,08:55,2,4,3,6,4,5,40,2,2,51.56131311497194,0.7550816108781438
A025735,06/01/2023,01:50,1,3,0,3,1,1,30,8,2,52.10578780161188,1.3499745073527127
A025736,26/10/2023,12:26,3,3,1,1,5,7,30,7,1,51.51126443003736,-0.37016555163094045
A025737,11/04/2023,11:26,3,2,0,4,1,4,30,5,1,51.09383564106464,-2.0554861314830544
A025738,01/04/2023,07:39,2,3,1,1,4,4,60,8,1,53.280041515839066,-1.4867891475824666
A025739,28/09/2023,12:26,3,3,2,8,7,1,60,1,2,52.18068206239094,-1.232935066108692
A025740,05/11/2023,14:13,3,2,2,2,2,7,30,0,1,51.15550442921008,2.7644087597993585
A025741,03/07/2023,14:17,3,2,0,6,1,1,50,7,2,52.76009431524946,-2.6641766486975724
A025742,23/02/2023,21:21,3,1,0,4,4,5,50,9,1,51.479608701877574,-0.3102729499559488
A025743,14/09/2023,16:15,3,2,1,5,2,1,50,8,2,51.93306278919473,-0.12399972995851219
A025744,18/04/2023,07:35,2,2,2,7,3,6,70,8,1,51.48390723395636,-0.501994385497689
A025745,24/03/2023,16:51,3,3,3,1,2,4,40,5,1,50.33286946998628,1.140957315381527
A025746,30/05/2023,04:04,3,1,3,5,1,1,40,1,2,51.155723796669434,-1.9411376151695643
A025747,11/05/2023,05:04,3,3,1,9,1,5,30,9,1,52.73906035985807,1.2963199509766432
A025748,01/10/2023,12:37,3,3,2,3,6,4,40,0,1,53.0984658726332,0.9674163114893825
A025749,12/07/2023,06:50,3,2,2,1,4,7,30,2,1,50.6624004342986,-2.4225324532613044
A025750,03/11/2023,00:07,3,3,0,6,6,1,70,9,2,51.84618897919592,-1.8952047563560346
A025751,18/12/2023,19:55,2,3,3,8,6,7,60,8,1,50.709350258393535,-0.4757789940884972
A025752,29/01/2023,22:57,2,4,1,3,7,1,30,1,1,50.48376072172398,1.5055659067664267
A025753,03/02/2023,05:30,3,1,3,8,3,5,40,9,2,50.62021638406977,-1.9503640964223325
A025754,07/12/2023,23:10,3,3,2,3,1,5,30,2,1,51.36310630922442,2.544278084173571
A025755,28/11/2023,07:21,3,5,2,1,4,5,30,0,2,49.80420119181004,-1.3085279365532823
A025756,20/12/2023,03:50,3,2,0,2,6,1,60,9,1,49.99880290957115,-1.6822472773636763
A025757,11/01/2023,05:04,3,5,2,5,3,4,40,0,1,52.26273929217271,1.170226137893779
A025758,01/06/2023,13:13,3,4,1,9,2,4,60,8,2,51.230529664150176,1.8705523012612937
A025759,09/11/2023,19:47,2,3,1,8,1,4,30,6,1,52.96296719231783,-2.5400437757719074
A025760,24/11/2023,06:14,3,4,2,4,3,6,60,3,2,50.40440791098637,0.2452446124880737
A025761,06/11/2023,16:51,3,5,0,1,2,1,50,5,1,52.821622317708595,-0.16443734732141416
A025762,27/05/2023,08:31,1,1,3,9,6,6,40,6,1,51.92745578255764,-1.8579881308118367
A025763,01/01/2023,18:55,3,1,2,8,4,5,60,7,1,50.59689684077213,0.9329730003662041
A025764,10/05/2023,11:38,3,2,0,4,5,6,30,5,1,53.38122960633902,0.8958031519097297
A025765,07/10/2023,17:42,3,3,3,3,3,1,20,7,2,52.566325843223446,-2.3949039896176925
A025766,03/01/2023,08:45,1,2,0,1,1,1,70,9,1,52.93005894839533,-0.3516582356732253
A025767,01/03/2023,22:16,3,1,3,2,5,4,70,2,2,50.63231365758677,2.5085092366218453
A025768,15/12/2023,21:45,3,4,0,5,5,5,70,5,2,52.111785653992406,2.6921895279008186
A025769,03/04/2023,09:49,3,3,2,7,2,4,20,9,1,52.49020508212617,2.05199743246031
A025770,28/04/2023,01:40,2,2,1,7,5,5,50,2,2,49.65041776349815,1.405808176931449
A025771,24/09/2023,05:41,3,5,2,1,4,5,60,1,2,53.1638710398878,-0.6362653787265179
A025772,06/03/2023,16:02,2,2,3,3,3,1,40,6,1,53.06559861765494,-0.6676408557608434
A025773,11/03/2023,16:20,3,5,0,6,6,1,60,6,2,50.142808110466376,-1.907780290255431
A025774,30/08/2023,04:03,3,3,0,7,7,7,60,8,2,50.641508231203474,1.4674175850361801
A025775,01/01/2023,03:13,3,5,3,7,5,7,40,5,2,52.400475496194495,-2.3562555164312036
A025776,26/12/2023,01:57,3,4,3,9,5,4,40,0,2,50.752670655491016,1.9768001047445618
A025777,22/11/2023,18:54,3,3,0,3,6,5,60,1,1,52.383674003439296,0.7862683246086851
A025778,10/08/2023,11:50,2,5,3,9,5,6,20,3,1,51.983961125202285,2.7333262009298536
A025779,04/08/2023,10:51,2,1,0,8,1,6,70,1,2,52.0804479374206,2.574990187376088
A025780,10/05/2023,02:28,3,5,1,9,7,6,20,5,2,51.10797113695465,-1.570565249244347
A025781,07/07/2023,10:51,3,2,2,6,2,1,50,0,2,49.604249842000335,2.792483724930164
A025782,01/03/2023,07:21,2,3,3,3,2,6,50,7,2,51.88462947937928,0.07019334526395235
A025783,14/07/2023,00:53,3,5,3,8,1,5,70,7,1,51.39514685928119,1.0963490407123984
A025784,22/12/2023,10:30,3,2,2,9,4,1,40,9,2,49.55546941664563,0.14257082396428453
A025785,10/01/2023,04:36,3,3,3,8,3,6,20,8,1,51.47644463886091,2.813833551876716
A025786,09/03/2023,17:38,3,2,2,1,5,6,50,3,2,50.291670792354296,-0.38002061233786966
A025787,05/02/2023,18:37,3,1,2,6,1,1,40,6,1,52.4119201024884,-3.017775901904748
A025788,13/04/2023,19:17,3,3,3,9,2,6,50,6,2,53.167606764254145,-0.2010527249504989
A025789,10/12/2023,10:08,2,1,1,2,3,7,30,9,2,49.98210334738244,-0.8473258588490963
A025790,06/01/2023,19:15,3,3,3,2,2,4,40,9,1,51.74108221334506,-0.3147852092944706
A025791,29/07/2023,03:13,3,4,1,2,3,4,70,8,2,49.5548651627348,1.6137130547277603
A025792,11/05/2023,08:31,2,2,1,9,7,6,50,9,2,50.44644596516242,-2.9187622014257504
A025793,07/05/2023,07:04,3,2,1,5,3,5,50,3,2,50.09499970822078,0.6690140310279348
A025794,11/03/2023,14:30,3,1,2,8,5,4,30,3,2,52.92684046958882,-1.5367311295190502
A025795,17/03/2023,01:49,3,1,2,7,5,1,50,2,1,51.461048061572555,-2.2917789129897383
A025796,25/06/2023,01:01,2,1,0,3,5,7,20,6,1,49.94234970891736,-0.10563851925494686
A025797,31/01/2023,18:05,3,2,1,1,3,6,70,0,1,53.352956456476534,-1.2591754802496835
A025798,12/07/2023,16:53,3,1,3,9,1,5,50,1,1,50.898474085450495,-2.0175182349635863
A025799,18/01/2023,00:31,3,2,0,1,1,5,60,9,1,53.01935822939987,1.6747243900737154
A025800,04/09/2023,12:47,3,4,2,6,2,6,30,9,1,51.689146535648234,2.6796177152664176
A025801,20/01/2023,16:00,3,5,3,8,3,6,60,9,2,52.56439670971442,-0.680492773757391
A025802,25/02/2023,19:22,3,5,1,6,7,4,50,9,2,53.24976695096011,0.7153316216601683
A025803,07/09/2023,01:23,2,3,0,6,7,1,20,3,2,51.23128926664738,1.1963073367091295
A025804,03/03/2023,00:34,3,2,2,2,1,7,20,2,2,51.7070234789376,1.1035925246513254
A025805,08/07/2023,00:51,3,1,3,1,4,5,70,7,2,53.25410091828043,0.8168849296622019
A025806,20/12/2023,19:05,2,4,2,6,2,7,50,3,2,51.13608240129577,1.425965946537206
A025807,24/01/2023,23:32,3,4,2,8,2,5,60,9,1,52.795350015102194,-0.9292479562545143
A025808,14/04/2023,18:25,3,2,2,8,3,5,70,3,1,52.17886821753137,-0.754080555042813
A025809,20/08/2023,17:18,3,5,0,7,1,1,70,2,2,53.41024186216024,0.4921029176834196
A025810,01/04/2023,00:57,3,3,2,3,5,5,50,5,1,49.73925954281624,1.2591162250321326
A025811,01/02/2023,14:19,3,4,1,6,7,1,60,6,1,50.88378832804691,2.2074926622259823
A025812,06/02/2023,02:54,3,2,0,2,3,4,70,7,1,50.96129223825417,0.2124226973365749
A025813,05/07/2023,00:16,3,2,3,5,7,7,40,3,1,52.94263302229807,-2.0758118196549575
A025814,28/07/2023,21:39,3,3,2,3,3,4,50,2,1,50.96263056745666,1.6045744267546165
A025815,08/11/2023,01:49,3,4,1,2,7,1,60,9,1,52.28959403041899,0.2446033968709372
A025816,18/11/2023,04:34,3,2,0,8,4,7,50,1,2,53.203439781747,-0.17412861113729897
A025817,13/05/2023,16:59,2,5,3,1,5,4,60,6,1,51.6881744280896,-0.8197149036296784
A025818,08/06/2023,22:51,3,1,3,3,5,5,20,7,2,52.17625519211349,-0.0022966859954531016
A025819,02/06/2023,14:35,3,3,3,9,4,7,50,9,2,51.13850679505368,1.1458517543398234
A025820,05/02/2023,03:35,3,3,0,6,2,5,30,7,2,53.34905352858133,2.2351069191591804
A025821,07/07/2023,15:55,2,2,2,1,2,4,60,1,1,49.72411544272521,-1.4578798226722531
A025822,16/04/2023,07:35,3,1,0,4,7,1,40,5,2,51.07138960726229,-0.8424007274992004
A025823,14/10/2023,02:46,2,3,2,9,7,5,30,7,1,51.620203055160246,-1.3141401489312838
A025824,22/08/2023,19:39,3,1,0,8,6,4,70,1,2,51.225298856211836,0.49823272855135115
A025825,05/11/2023,02:57,3,2,0,8,2,7,40,7,1,50.304564313336535,2.394780421357462
A025826,24/11/2023,18:07,3,5,2,4,1,6,50,3,1,50.2888100110653,1.4896562733979057
A025827,22/12/2023,10:50,3,3,3,8,2,1,70,7,1,52.281722979848794,-0.46841729027375967
A025828,03/07/2023,08:22,3,1,3,8,6,1,40,2,2,52.275456748446004,2.270229786779653
A025829,22/03/2023,13:14,3,1,3,6,5,6,20,8,2,51.961402260778705,-1.3125839234411256
A025830,04/08/2023,09:44,3,4,0,4,2,7,70,2,2,52.813461277841924,-1.3675212221503128
A025831,17/05/2023,23:41,3,4,2,3,2,1,20,0,2,49.89353650308817,-1.9927889975003141
A025832,16/03/2023,17:03,3,3,0,8,7,1,70,2,1,52.281763225597324,-2.566814167951949
A025833,25/07/2023,02:40,3,5,0,9,3,4,20,5,1,51.79472873255165,2.3990448270185634
A025834,15/06/2023,12:45,3,3,2,2,4,5,50,8,2,51.87634758960728,-1.0615358684466623
A025835,11/08/2023,09:37,3,1,1,5,6,6,30,5,2,50.026339927678535,-2.4131578871241097
A025836,11/01/2023,14:00,3,3,1,8,5,6,30,2,1,50.8857422092123,0.9151314336324147
A025837,04/12/2023,08:41,3,2,1,3,7,5,20,5,1,50.14100603136182,0.07813464384511634
A025838,18/11/2023,10:16,2,4,2,7,6,6,40,5,2,52.664504416581245,0.4277974627864133
A025839,25/02/2023,23:01,3,5,2,5,3,5,50,5,1,51.08361485064885,0.06464771377291853
A025840,18/08/2023,15:43,2,3,2,3,2,7,60,3,2,49.78409075747185,-2.8551390398478356
A025841,30/07/2023,19:10,3,2,0,2,6,6,40,1,1,52.399935235635844,0.8185541471015402
A025842,01/05/2023,15:03,3,3,2,1,4,4,20,2,2,52.5454834289832,-1.4942099859555176
A025843,12/07/2023,07:16,3,2,1,7,2,7,70,2,1,53.497091174104504,-0.5222648628814829
A025844,29/04/2023,04:10,3,5,3,6,1,1,50,3,1,51.39961825432663,-0.7742472167880518
A025845,30/04/2023,03:12,3,2,1,2,6,4,70,9,1,51.96344765048549,-1.8365716292673695
A025846,07/06/2023,03:45,2,4,0,5,7,1,50,3,2,49.52271440535046,0.03670552282466452
A025847,01/06/2023,16:08,3,5,1,8,4,1,50,5,2,50.612013127516896,-0.16667341209315048
A025848,22/04/2023,05:24,3,4,2,1,4,7,40,3,1,50.022952913373416,-0.6719504643309143
A025849,19/07/2023,05:00,3,4,0,5,5,4,70,0,1,51.066623093319386,2.8861312634705265
A025850,28/11/2023,13:57,3,1,3,3,6,5,60,2,2,51.39966408851726,0.8615639187732113
A025851,13/09/2023,19:12,3,1,3,8,1,7,30,2,1,51.60151344156653,-1.063493215989992
A025852,03/03/2023,05:51,3,2,2,4,2,7,60,0,1,52.229812942291176,-0.7473795833966376
A025853,27/09/2023,23:50,3,2,1,6,5,6,50,5,2,51.13777178209718,-1.3847438930286462
A025854,15/03/2023,02:26,2,5,3,6,3,5,30,6,1,52.50280937955439,2.0256391801400446
A025855,20/04/2023,20:19,3,2,2,9,3,6,20,1,2,50.58598968927387,1.9833229194609827
A025856,12/09/2023,13:06,3,4,3,8,1,5,40,1,1,52.69918270801442,-1.9358745754371547
A025857,24/03/2023,02:05,3,5,1,9,4,5,40,8,1,51.71759474905788,-0.5683930045977984
A025858,07/05/2023,06:22,3,5,1,2,5,1,70,0,2,50.24783621003183,-2.0621290544381026
A025859,08/11/2023,10:57,2,2,1,9,2,6,50,2,1,50.104978399252516,-0.9261299808583899
A025860,13/05/2023,23:18,3,1,0,4,4,6,30,7,2,51.81624588337488,-0.050097590865331304
A025861,08/12/2023,09:25,3,4,1,4,4,7,60,1,2,51.55235116126218,-1.3269064821966463
A025862,23/06/2023,00:00,3,2,2,7,6,7,60,5,1,49.76533790058325,-2.9618329820516034
A025863,18/09/2023,20:29,3,4,1,7,7,4,60,3,1,53.1623697944197,1.079445311238771
A025864,24/01/2023,16:24,2,3,2,1,2,6,60,9,2,50.496735514549044,-2.331129584583356
A025865,09/10/2023,11:36,3,5,2,7,5,6,30,9,1,50.90690851363205,2.2189758773890635
A025866,25/07/2023,18:21,3,1,3,7,4,7,20,8,1,50.295495637012394,2.444150046362948
A025867,16/06/2023,15:51,2,1,1,9,7,1,60,6,1,50.66737835570967,2.6200071836189234
A025868,28/08/2023,12:37,3,1,3,5,6,1,40,1,2,52.518047973765604,-2.242667060731284
A025869,30/05/2023,17:06,3,3,0,8,7,5,50,5,1,53.44711438479171,1.7780953779956774
A025870,21/05/2023,06:06,3,1,0,2,5,6,20,8,1,52.87778886465736,2.867793898822867
A025871,30/07/2023,23:52,2,3,3,8,2,4,20,5,2,51.85233466249566,1.8881559835900696
A025872,25/10/2023,07:58,2,3,1,7,2,6,30,0,2,51.34398745180994,-2.8939757319307433
A025873,06/02/2023,01:12,3,2,2,1,1,6,50,3,1,51.248604626292625,-1.4474654265922549
A025874,15/07/2023,20:38,2,3,0,7,3,5,70,5,1,51.730533599656155,-1.878878190104196
A025875,22/09/2023,06:29,2,2,0,6,2,5,30,6,2,50.06268845363431,-2.6440567946111035
A025876,15/02/2023,02:20,3,2,3,6,6,4,60,7,2,51.115831975373105,-0.10993999089097031
A025877,10/11/2023,02:48,3,2,3,9,6,6,60,9,1,51.487040064219926,0.6777465066840455
A025878,26/04/2023,03:24,2,4,3,8,6,1,20,3,2,53.38069268980401,1.2820512945521556
A025879,18/09/2023,20:47,3,5,1,6,3,1,70,6,2,52.1612677614401,-0.8197928392845085
A025880,17/06/2023,23:37,3,4,0,5,6,5,30,0,2,50.61020351430014,-2.7261932862597917
A025881,30/03/2023,02:46,3,5,1,6,5,6,20,0,2,50.42342223908013,-2.7787136794659326
A025882,23/07/2023,14:46,3,4,2,7,2,1,50,1,1,53.4648234243336,-2.5332894797425562
A025883,02/11/2023,00:16,3,1,3,8,1,6,20,8,2,52.64892142186248,-2.1252411636142177
A025884,06/06/2023,04:26,3,1,1,5,3,5,40,1,1,50.88929287495177,1.9703989695338975
A025885,20/03/2023,06:32,3,4,0,8,2,7,50,1,2,52.29046452807805,-1.7207219813327048
A025886,09/07/2023,23:51,3,5,1,9,3,7,40,5,2,50.29831443277472,-2.4009622838993914
A025887,01/05/2023,14:21,3,5,2,1,1,6,50,5,1,53.035412488859315,1.8886185337738444
A025888,25/10/2023,21:05,3,2,2,2,1,4,20,1,2,53.31505427812192,1.2304981516161857
A025889,20/08/2023,04:20,3,2,2,7,5,5,30,9,2,51.88560045940168,-1.409128747096186
A025890,10/05/2023,14:58,3,2,0,8,3,5,20,6,1,52.310745043891814,1.5236392012482063
A025891,25/05/2023,02:44,3,4,2,2,4,6,50,2,1,52.45573291090009,-1.468193788261517
A025892,01/05/2023,20:36,3,3,1,6,2,1,30,2,2,52.71143867972295,1.3323136484802407
A025893,07/10/2023,05:34,2,4,0,1,5,5,70,6,2,52.47780670091467,0.7874391370153969
A025894,07/11/2023,23:54,3,3,3,9,7,4,50,0,1,52.86814704180227,-2.816093326546303
A025895,28/06/2023,13:42,3,4,3,9,6,1,50,9,1,49.681241094118,1.0887882561803983
A025896,17/11/2023,13:42,3,4,0,5,6,4,30,9,2,50.670400712163776,2.2140797979851334
A025897,30/07/2023,12:15,3,2,1,4,5,4,60,5,1,51.3641161385859,-1.377699287468726
A025898,09/03/2023,06:53,3,2,3,1,5,7,20,9,1,51.54945472367779,0.43031218973366114
A025899,03/07/2023,17:08,2,3,0,9,5,1,70,1,2,53.094817530943075,-2.9830625595195968
A025900,13/08/2023,17:00,3,3,1,8,4,6,60,3,1,52.635860577635285,-0.1935769823959678
A025901,21/09/2023,04:47,3,3,2,1,2,7,40,2,1,52.16940760974605,2.3493021259864384
A025902,13/01/2023,07:16,3,4,3,3,6,1,30,9,1,52.53846597398825,-1.9800947063482766
A025903,28/02/2023,19:45,3,3,3,8,7,6,70,3,1,51.10640234898588,-1.1846524190272134
A025904,08/03/2023,14:40,3,5,3,8,6,1,40,6,1,52.940959354579896,0.9057475615513516
A025905,29/10/2023,01:22,1,5,1,8,1,1,60,9,1,53.03214051610127,1.9761951968079567
A025906,01/02/2023,01:59,3,4,0,9,2,5,70,6,2,52.32177113823621,2.5593138135713764
A025907,27/01/2023,01:53,3,4,1,7,2,7,50,0,1,50.868227106911675,-2.957097897915322
A025908,21/09/2023,17:24,3,3,1,6,5,1,20,7,2,50.82207665374224,-1.9999801458539348
A025909,16/02/2023,12:51,2,3,0,1,5,6,20,3,2,51.01267660922355,2.4109581731074283
A025910,31/08/2023,07:55,3,4,2,2,4,7,60,1,2,52.086734653471446,-2.1869860194892516
A025911,24/03/2023,11:02,3,2,2,2,2,1,70,5,1,51.38438924320245,-2.410312699570538
A025912,06/02/2023,02:01,3,5,3,2,1,4,40,9,2,52.55187297164374,0.18925957411736868
A025913,25/05/2023,21:22,3,5,0,9,3,4,40,6,1,50.490851386503714,-2.9816309434302486
A025914,25/03/2023,05:17,3,2,3,4,2,5,60,7,1,53.04217436250061,0.7174686210864888
A025915,22/05/2023,11:55,2,5,0,6,4,7,20,3,1,52.94326164057904,0.43709728254337243
A025916,07/12/2023,15:07,2,1,1,2,2,5,30,0,1,52.206726268658045,1.0727007170372418
A025917,13/06/2023,10:12,3,3,2,6,3,1,20,8,1,53.12583809104882,-2.792810405075128
A025918,06/10/2023,16:23,2,2,1,3,5,6,20,9,1,50.853016059073724,1.8737044452043006
A025919,04/09/2023,19:42,3,5,2,7,3,7,30,7,1,50.6853932549084,-0.23248726878795214
A025920,07/06/2023,05:26,2,3,1,3,7,6,40,5,1,51.85935069653329,-1.2582175580333024
A025921,09/08/2023,06:36,3,5,1,2,5,4,20,7,1,52.20359066431503,0.38843676390655946
A025922,19/04/2023,02:01,3,1,0,7,7,4,70,1,1,51.948323722431006,-0.547795580403822
A025923,14/10/2023,10:55,3,3,2,4,1,5,30,0,1,51.26372030096221,1.3403175178469948
A025924,29/07/2023,15:14,3,5,1,2,2,6,60,9,1,52.58856159986444,2.1947526021189137
A025925,08/12/2023,18:03,3,4,1,3,5,5,60,9,1,52.5981658275241,-0.2662710363644457
A025926,27/01/2023,14:06,1,4,3,3,2,4,70,7,2,49.79609730157076,-2.4961591353697545
A025927,05/12/2023,03:14,3,1,1,3,7,4,60,8,2,53.097191299501624,1.068623179705074
A025928,04/03/2023,01:14,3,5,3,3,2,5,70,7,2,51.920144035206526,2.1221335261497543
A025929,02/01/2023,07:58,3,3,0,8,6,6,50,5,2,50.0506581708382,0.2766242659181094
A025930,24/03/2023,20:46,3,2,2,1,4,6,40,3,2,51.71812690834737,1.3262114536184542
A025931,04/07/2023,20:44,3,1,1,2,4,4,60,7,1,50.72986471835798,-1.5509684905246053
A025932,13/08/2023,01:46,2,4,2,2,5,1,40,5,1,52.75874365638004,-0.26893097135991606
A025933,14/12/2023,03:26,3,2,3,1,4,4,50,9,1,52.226127892975626,0.18561591508803596
A025934,21/02/2023,14:15,3,3,2,7,5,6,40,1,2,49.78821406018392,1.5957827546082615
